This job can be monitored from: https://job.c3se.chalmers.se/alvis/3967338
>>> Training with SGD
┏━━━━━━━━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┳━━━━━━━╸T-E-S-T╺━━━━━━━┓
┃              ┃              ╷              ┃             ╷         ┃
┃       epoch  ┃        loss  │    accuracy  ┃       loss  │accuracy ┃
┃          51  ┃      0.0020  │     91.20 %  ┃      0.0022 │     90.80 %┃
┃          52  ┃      0.0018  │     91.88 %  ┃      0.0022 │     90.80 %┃
┃          52  ┃      0.0018  │     91.88 %  ┃      0.0019 │     91.85 %┃
┃          53  ┃      0.0019  │     91.36 %  ┃      0.0019 │     91.85 %┃
┃          53  ┃      0.0019  │     91.36 %  ┃      0.0020 │     91.44 %┃
┃          54  ┃      0.0019  │     91.80 %  ┃      0.0020 │     91.44 %┃
┃          54  ┃      0.0019  │     91.80 %  ┃      0.0020 │     91.73 %┃
┃          55  ┃      0.0021  │     91.14 %  ┃      0.0020 │     91.73 %┃
┃          55  ┃      0.0021  │     91.14 %  ┃      0.0022 │     90.90 %┃
┃          56  ┃      0.0019  │     91.66 %  ┃      0.0022 │     90.90 %┃
┃          56  ┃      0.0019  │     91.66 %  ┃      0.0020 │     91.50 %┃
┃          57  ┃      0.0018  │     92.38 %  ┃      0.0020 │     91.50 %┃
┃          57  ┃      0.0018  │     92.38 %  ┃      0.0020 │     91.62 %┃
┃          58  ┃      0.0020  │     91.42 %  ┃      0.0020 │     91.62 %┃
┃          58  ┃      0.0020  │     91.42 %  ┃      0.0020 │     91.56 %┃
┃          59  ┃      0.0021  │     90.78 %  ┃      0.0020 │     91.56 %┃
┃          59  ┃      0.0021  │     90.78 %  ┃      0.0021 │     91.01 %┃
┃          60  ┃      0.0014  │     94.28 %  ┃      0.0021 │     91.01 %┃
┃          60  ┃      0.0014  │     94.28 %  ┃      0.0015 │     93.66 %┃
┃          61  ┃      0.0014  │     94.12 %  ┃      0.0015 │     93.66 %┃
┃          61  ┃      0.0014  │     94.12 %  ┃      0.0014 │     94.09 %┃
┃          62  ┃      0.0013  │     94.42 %  ┃      0.0014 │     94.09 %┃
┃          62  ┃      0.0013  │     94.42 %  ┃      0.0014 │     94.02 %┃
┃          63  ┃      0.0013  │     94.38 %  ┃      0.0014 │     94.02 %┃
┃          63  ┃      0.0013  │     94.38 %  ┃      0.0014 │     93.97 %┃
┃          64  ┃      0.0013  │     94.84 %  ┃      0.0014 │     93.97 %┃
┃          64  ┃      0.0013  │     94.84 %  ┃      0.0014 │     94.14 %┃
┃          65  ┃      0.0013  │     94.72 %  ┃      0.0014 │     94.14 %┃
┃          65  ┃      0.0013  │     94.72 %  ┃      0.0014 │     94.13 %┃
┃          66  ┃      0.0013  │     94.34 %  ┃      0.0014 │     94.13 %┃
┃          66  ┃      0.0013  │     94.34 %  ┃      0.0014 │     94.12 %┃
┃          67  ┃      0.0013  │     94.40 %  ┃      0.0014 │     94.12 %┃
┃          67  ┃      0.0013  │     94.40 %  ┃      0.0014 │     94.16 %┃
┃          68  ┃      0.0013  │     94.36 %  ┃      0.0014 │     94.16 %┃
┃          68  ┃      0.0013  │     94.36 %  ┃      0.0014 │     94.16 %┃
┃          69  ┃      0.0013  │     94.32 %  ┃      0.0014 │     94.16 %┃
┃          69  ┃      0.0013  │     94.32 %  ┃      0.0014 │     94.10 %┃
┃          70  ┃      0.0014  │     94.08 %  ┃      0.0014 │     94.10 %┃
┃          70  ┃      0.0014  │     94.08 %  ┃      0.0014 │     94.31 %┃
┃          71  ┃      0.0013  │     94.32 %  ┃      0.0014 │     94.31 %┃
┃          71  ┃      0.0013  │     94.32 %  ┃      0.0014 │     94.15 %┃
┃          72  ┃      0.0013  │     94.42 %  ┃      0.0014 │     94.15 %┃
┃          72  ┃      0.0013  │     94.42 %  ┃      0.0014 │     94.15 %┃
┃          73  ┃      0.0013  │     94.68 %  ┃      0.0014 │     94.15 %┃
┃          73  ┃      0.0013  │     94.68 %  ┃      0.0014 │     94.17 %┃
┃          74  ┃      0.0013  │     94.46 %  ┃      0.0014 │     94.17 %┃
┃          74  ┃      0.0013  │     94.46 %  ┃      0.0015 │     94.11 %┃
┃          75  ┃      0.0013  │     94.82 %  ┃      0.0015 │     94.11 %┃
┃          75  ┃      0.0013  │     94.82 %  ┃      0.0014 │     94.23 %┃
┃          76  ┃      0.0013  │     94.48 %  ┃      0.0014 │     94.23 %┃
┃          76  ┃      0.0013  │     94.48 %  ┃      0.0014 │     94.23 %┃
┃          77  ┃      0.0014  │     94.48 %  ┃      0.0014 │     94.23 %┃
┃          77  ┃      0.0014  │     94.48 %  ┃      0.0015 │     94.06 %┃
┃          78  ┃      0.0014  │     94.12 %  ┃      0.0015 │     94.06 %┃
┃          78  ┃      0.0014  │     94.12 %  ┃      0.0015 │     94.08 %┃
┃          79  ┃      0.0013  │     94.86 %  ┃      0.0015 │     94.08 %┃
┃          79  ┃      0.0013  │     94.86 %  ┃      0.0014 │     94.30 %┃
┃          80  ┃      0.0013  │     94.56 %  ┃      0.0014 │     94.30 %┃
┃          80  ┃      0.0013  │     94.56 %  ┃      0.0014 │     94.59 %┃
┃          81  ┃      0.0013  │     94.72 %  ┃      0.0014 │     94.59 %┃
┃          81  ┃      0.0013  │     94.72 %  ┃      0.0014 │     94.41 %┃
┃          82  ┃      0.0013  │     94.50 %  ┃      0.0014 │     94.41 %┃
┃          82  ┃      0.0013  │     94.50 %  ┃      0.0014 │     94.45 %┃
┃          83  ┃      0.0013  │     94.46 %  ┃      0.0014 │     94.45 %┃
┃          83  ┃      0.0013  │     94.46 %  ┃      0.0014 │     94.53 %┃
┃          84  ┃      0.0012  │     94.88 %  ┃      0.0014 │     94.53 %┃
┃          84  ┃      0.0012  │     94.88 %  ┃      0.0014 │     94.57 %┃
┃          85  ┃      0.0012  │     94.64 %  ┃      0.0014 │     94.57 %┃
┃          85  ┃      0.0012  │     94.64 %  ┃      0.0014 │     94.55 %┃
┃          86  ┃      0.0013  │     94.88 %  ┃      0.0014 │     94.55 %┃
┃          86  ┃      0.0013  │     94.88 %  ┃      0.0014 │     94.58 %┃
┃          87  ┃      0.0013  │     94.66 %  ┃      0.0014 │     94.58 %┃
┃          87  ┃      0.0013  │     94.66 %  ┃      0.0014 │     94.57 %┃
┃          88  ┃      0.0013  │     94.86 %  ┃      0.0014 │     94.57 %┃
┃          88  ┃      0.0013  │     94.86 %  ┃      0.0014 │     94.63 %┃
┃          89  ┃      0.0013  │     94.70 %  ┃      0.0014 │     94.63 %┃
┃          89  ┃      0.0013  │     94.70 %  ┃      0.0014 │     94.54 %┃
┃          90  ┃      0.0012  │     94.64 %  ┃      0.0014 │     94.54 %┃
┃          90  ┃      0.0012  │     94.64 %  ┃      0.0014 │     94.51 %┃
┃          91  ┃      0.0012  │     94.80 %  ┃      0.0014 │     94.51 %┃
┃          91  ┃      0.0012  │     94.80 %  ┃      0.0014 │     94.46 %┃
┃          92  ┃      0.0012  │     95.18 %  ┃      0.0014 │     94.46 %┃
┃          92  ┃      0.0012  │     95.18 %  ┃      0.0014 │     94.61 %┃
┃          93  ┃      0.0012  │     94.76 %  ┃      0.0014 │     94.61 %┃
┃          93  ┃      0.0012  │     94.76 %  ┃      0.0014 │     94.58 %┃
┃          94  ┃      0.0013  │     94.64 %  ┃      0.0014 │     94.58 %┃
┃          94  ┃      0.0013  │     94.64 %  ┃      0.0014 │     94.60 %┃
┃          95  ┃      0.0012  │     94.72 %  ┃      0.0014 │     94.60 %┃
┃          95  ┃      0.0012  │     94.72 %  ┃      0.0014 │     94.55 %┃
┃          96  ┃      0.0013  │     94.64 %  ┃      0.0014 │     94.55 %┃
┃          96  ┃      0.0013  │     94.64 %  ┃      0.0014 │     94.53 %┃
┃          97  ┃      0.0012  │     94.88 %  ┃      0.0014 │     94.53 %┃
┃          97  ┃      0.0012  │     94.88 %  ┃      0.0014 │     94.68 %┃
┃          98  ┃      0.0013  │     95.06 %  ┃      0.0014 │     94.68 %┃
┃          98  ┃      0.0013  │     95.06 %  ┃      0.0014 │     94.53 %┃
┃          99  ┃      0.0012  │     94.84 %  ┃      0.0014 │     94.53 %┃
┃          99  ┃      0.0012  │     94.84 %  ┃      0.0014 │     94.53 %┃

>>> Grid Search for SAM rho

>>> Training SAM with rho = 0.01
┏━━━━━━━━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┳━━━━━━━╸T-E-S-T╺━━━━━━━┓
┃              ┃              ╷              ┃             ╷         ┃
┃       epoch  ┃        loss  │    accuracy  ┃       loss  │accuracy ┃
┠──────────────╂──────────────┼──────────────╂─────────────┼─────────┨
┃           0  ┃      0.0150  │     28.58 %  ┃      0.0000 │      0.00 %┃
┃           0  ┃      0.0150  │     28.58 %  ┃      0.0142 │     30.00 %┃
┃           1  ┃      0.0138  │     36.36 %  ┃      0.0142 │     30.00 %┃
┃           1  ┃      0.0138  │     36.36 %  ┃      0.0130 │     38.82 %┃
┃           2  ┃      0.0118  │     46.24 %  ┃      0.0130 │     38.82 %┃
┃           2  ┃      0.0118  │     46.24 %  ┃      0.0116 │     46.25 %┃
┃           3  ┃      0.0116  │     50.28 %  ┃      0.0116 │     46.25 %┃
┃           3  ┃      0.0116  │     50.28 %  ┃      0.0116 │     51.00 %┃
┃           4  ┃      0.0091  │     59.92 %  ┃      0.0116 │     51.00 %┃
┃           4  ┃      0.0091  │     59.92 %  ┃      0.0090 │     61.32 %┃
┃           5  ┃      0.0090  │     62.36 %  ┃      0.0090 │     61.32 %┃
┃           5  ┃      0.0090  │     62.36 %  ┃      0.0094 │     61.53 %┃
┃           6  ┃      0.0071  │     69.50 %  ┃      0.0094 │     61.53 %┃
┃           6  ┃      0.0071  │     69.50 %  ┃      0.0075 │     68.83 %┃
┃           7  ┃      0.0062  │     72.34 %  ┃      0.0075 │     68.83 %┃
┃           7  ┃      0.0062  │     72.34 %  ┃      0.0064 │     72.75 %┃
┃           8  ┃      0.0056  │     75.14 %  ┃      0.0064 │     72.75 %┃
┃           8  ┃      0.0056  │     75.14 %  ┃      0.0055 │     76.45 %┃
┃           9  ┃      0.0060  │     74.48 %  ┃      0.0055 │     76.45 %┃
┃           9  ┃      0.0060  │     74.48 %  ┃      0.0059 │     75.12 %┃
┃          10  ┃      0.0077  │     68.36 %  ┃      0.0059 │     75.12 %┃
┃          10  ┃      0.0077  │     68.36 %  ┃      0.0075 │     69.75 %┃
┃          11  ┃      0.0057  │     75.22 %  ┃      0.0075 │     69.75 %┃
┃          11  ┃      0.0057  │     75.22 %  ┃      0.0061 │     75.13 %┃
┃          12  ┃      0.0069  │     71.46 %  ┃      0.0061 │     75.13 %┃
┃          12  ┃      0.0069  │     71.46 %  ┃      0.0069 │     72.10 %┃
┃          13  ┃      0.0056  │     75.78 %  ┃      0.0069 │     72.10 %┃
┃          13  ┃      0.0056  │     75.78 %  ┃      0.0058 │     75.72 %┃
┃          14  ┃      0.0050  │     79.16 %  ┃      0.0058 │     75.72 %┃
┃          14  ┃      0.0050  │     79.16 %  ┃      0.0053 │     78.41 %┃
┃          15  ┃      0.0041  │     82.24 %  ┃      0.0053 │     78.41 %┃
┃          15  ┃      0.0041  │     82.24 %  ┃      0.0041 │     81.98 %┃
┃          16  ┃      0.0043  │     80.54 %  ┃      0.0041 │     81.98 %┃
┃          16  ┃      0.0043  │     80.54 %  ┃      0.0042 │     81.91 %┃
┃          17  ┃      0.0050  │     78.42 %  ┃      0.0042 │     81.91 %┃
┃          17  ┃      0.0050  │     78.42 %  ┃      0.0050 │     78.93 %┃
┃          18  ┃      0.0043  │     81.26 %  ┃      0.0050 │     78.93 %┃
┃          18  ┃      0.0043  │     81.26 %  ┃      0.0045 │     81.24 %┃
┃          19  ┃      0.0043  │     81.18 %  ┃      0.0045 │     81.24 %┃
┃          19  ┃      0.0043  │     81.18 %  ┃      0.0044 │     81.04 %┃
┃          20  ┃      0.0048  │     78.78 %  ┃      0.0044 │     81.04 %┃
┃          20  ┃      0.0048  │     78.78 %  ┃      0.0051 │     78.65 %┃
┃          21  ┃      0.0040  │     82.46 %  ┃      0.0051 │     78.65 %┃
┃          21  ┃      0.0040  │     82.46 %  ┃      0.0040 │     83.50 %┃
┃          22  ┃      0.0037  │     84.26 %  ┃      0.0040 │     83.50 %┃
┃          22  ┃      0.0037  │     84.26 %  ┃      0.0037 │     84.55 %┃
┃          23  ┃      0.0044  │     80.24 %  ┃      0.0037 │     84.55 %┃
┃          23  ┃      0.0044  │     80.24 %  ┃      0.0047 │     80.01 %┃
┃          24  ┃      0.0038  │     82.44 %  ┃      0.0047 │     80.01 %┃
┃          24  ┃      0.0038  │     82.44 %  ┃      0.0035 │     84.49 %┃
┃          25  ┃      0.0043  │     81.28 %  ┃      0.0035 │     84.49 %┃
┃          25  ┃      0.0043  │     81.28 %  ┃      0.0047 │     79.77 %┃
┃          26  ┃      0.0044  │     81.18 %  ┃      0.0047 │     79.77 %┃
┃          26  ┃      0.0044  │     81.18 %  ┃      0.0043 │     82.04 %┃
┃          27  ┃      0.0044  │     80.64 %  ┃      0.0043 │     82.04 %┃
┃          27  ┃      0.0044  │     80.64 %  ┃      0.0046 │     80.65 %┃
┃          28  ┃      0.0057  │     77.34 %  ┃      0.0046 │     80.65 %┃
┃          28  ┃      0.0057  │     77.34 %  ┃      0.0059 │     77.87 %┃
┃          29  ┃      0.0041  │     81.94 %  ┃      0.0059 │     77.87 %┃
┃          29  ┃      0.0041  │     81.94 %  ┃      0.0044 │     81.42 %┃
┃          30  ┃      0.0021  │     90.78 %  ┃      0.0044 │     81.42 %┃
┃          30  ┃      0.0021  │     90.78 %  ┃      0.0021 │     90.53 %┃
┃          31  ┃      0.0020  │     91.30 %  ┃      0.0021 │     90.53 %┃
┃          31  ┃      0.0020  │     91.30 %  ┃      0.0020 │     91.14 %┃
┃          32  ┃      0.0020  │     90.92 %  ┃      0.0020 │     91.14 %┃
┃          32  ┃      0.0020  │     90.92 %  ┃      0.0020 │     91.40 %┃
┃          33  ┃      0.0020  │     91.00 %  ┃      0.0020 │     91.40 %┃
┃          33  ┃      0.0020  │     91.00 %  ┃      0.0022 │     90.77 %┃
┃          34  ┃      0.0021  │     91.56 %  ┃      0.0022 │     90.77 %┃
┃          34  ┃      0.0021  │     91.56 %  ┃      0.0021 │     91.45 %┃
┃          35  ┃      0.0021  │     91.08 %  ┃      0.0021 │     91.45 %┃
┃          35  ┃      0.0021  │     91.08 %  ┃      0.0023 │     91.03 %┃
┃          36  ┃      0.0020  │     91.20 %  ┃      0.0023 │     91.03 %┃
┃          36  ┃      0.0020  │     91.20 %  ┃      0.0021 │     91.53 %┃
┃          37  ┃      0.0023  │     89.60 %  ┃      0.0021 │     91.53 %┃
┃          37  ┃      0.0023  │     89.60 %  ┃      0.0024 │     90.13 %┃
┃          38  ┃      0.0021  │     90.98 %  ┃      0.0024 │     90.13 %┃
┃          38  ┃      0.0021  │     90.98 %  ┃      0.0023 │     90.75 %┃
┃          39  ┃      0.0020  │     91.22 %  ┃      0.0023 │     90.75 %┃
┃          39  ┃      0.0020  │     91.22 %  ┃      0.0022 │     90.67 %┃
┃          40  ┃      0.0021  │     90.94 %  ┃      0.0022 │     90.67 %┃
┃          40  ┃      0.0021  │     90.94 %  ┃      0.0022 │     91.11 %┃
┃          41  ┃      0.0024  │     89.86 %  ┃      0.0022 │     91.11 %┃
┃          41  ┃      0.0024  │     89.86 %  ┃      0.0025 │     90.06 %┃
┃          42  ┃      0.0022  │     90.70 %  ┃      0.0025 │     90.06 %┃
┃          42  ┃      0.0022  │     90.70 %  ┃      0.0023 │     90.65 %┃
┃          43  ┃      0.0021  │     90.98 %  ┃      0.0023 │     90.65 %┃
┃          43  ┃      0.0021  │     90.98 %  ┃      0.0023 │     90.99 %┃
┃          44  ┃      0.0025  │     90.12 %  ┃      0.0023 │     90.99 %┃
┃          44  ┃      0.0025  │     90.12 %  ┃      0.0025 │     90.13 %┃
┃          45  ┃      0.0025  │     89.68 %  ┃      0.0025 │     90.13 %┃
┃          45  ┃      0.0025  │     89.68 %  ┃      0.0026 │     89.79 %┃
┃          46  ┃      0.0022  │     90.94 %  ┃      0.0026 │     89.79 %┃
┃          46  ┃      0.0022  │     90.94 %  ┃      0.0023 │     90.71 %┃
┃          47  ┃      0.0025  │     90.00 %  ┃      0.0023 │     90.71 %┃
┃          47  ┃      0.0025  │     90.00 %  ┃      0.0025 │     89.99 %┃
┃          48  ┃      0.0024  │     89.82 %  ┃      0.0025 │     89.99 %┃
┃          48  ┃      0.0024  │     89.82 %  ┃      0.0026 │     89.85 %┃
┃          49  ┃      0.0025  │     89.54 %  ┃      0.0026 │     89.85 %┃
┃          49  ┃      0.0025  │     89.54 %  ┃      0.0028 │     89.16 %┃
┃          50  ┃      0.0026  │     89.58 %  ┃      0.0028 │     89.16 %┃
┃          50  ┃      0.0026  │     89.58 %  ┃      0.0027 │     89.57 %┃
┃          51  ┃      0.0022  │     90.86 %  ┃      0.0027 │     89.57 %┃
┃          51  ┃      0.0022  │     90.86 %  ┃      0.0023 │     90.88 %┃
┃          52  ┃      0.0023  │     90.82 %  ┃      0.0023 │     90.88 %┃
┃          52  ┃      0.0023  │     90.82 %  ┃      0.0023 │     90.98 %┃
┃          53  ┃      0.0026  │     89.20 %  ┃      0.0023 │     90.98 %┃
┃          53  ┃      0.0026  │     89.20 %  ┃      0.0029 │     88.84 %┃
┃          54  ┃      0.0023  │     90.50 %  ┃      0.0029 │     88.84 %┃
┃          54  ┃      0.0023  │     90.50 %  ┃      0.0023 │     90.78 %┃
┃          55  ┃      0.0022  │     90.74 %  ┃      0.0023 │     90.78 %┃
┃          55  ┃      0.0022  │     90.74 %  ┃      0.0024 │     90.61 %┃
┃          56  ┃      0.0027  │     89.28 %  ┃      0.0024 │     90.61 %┃
┃          56  ┃      0.0027  │     89.28 %  ┃      0.0030 │     89.03 %┃
┃          57  ┃      0.0023  │     90.36 %  ┃      0.0030 │     89.03 %┃
┃          57  ┃      0.0023  │     90.36 %  ┃      0.0024 │     90.14 %┃
┃          58  ┃      0.0023  │     89.94 %  ┃      0.0024 │     90.14 %┃
┃          58  ┃      0.0023  │     89.94 %  ┃      0.0026 │     90.16 %┃
┃          59  ┃      0.0023  │     90.26 %  ┃      0.0026 │     90.16 %┃
┃          59  ┃      0.0023  │     90.26 %  ┃      0.0023 │     90.73 %┃
┃          60  ┃      0.0016  │     93.24 %  ┃      0.0023 │     90.73 %┃
┃          60  ┃      0.0016  │     93.24 %  ┃      0.0016 │     93.61 %┃
┃          61  ┃      0.0016  │     93.62 %  ┃      0.0016 │     93.61 %┃
┃          61  ┃      0.0016  │     93.62 %  ┃      0.0017 │     93.59 %┃
┃          62  ┃      0.0016  │     93.70 %  ┃      0.0017 │     93.59 %┃
┃          62  ┃      0.0016  │     93.70 %  ┃      0.0017 │     93.54 %┃
┃          63  ┃      0.0016  │     93.90 %  ┃      0.0017 │     93.54 %┃
┃          63  ┃      0.0016  │     93.90 %  ┃      0.0017 │     93.61 %┃
┃          64  ┃      0.0016  │     93.54 %  ┃      0.0017 │     93.61 %┃
┃          64  ┃      0.0016  │     93.54 %  ┃      0.0018 │     93.79 %┃
┃          65  ┃      0.0016  │     94.02 %  ┃      0.0018 │     93.79 %┃
┃          65  ┃      0.0016  │     94.02 %  ┃      0.0017 │     93.98 %┃
┃          66  ┃      0.0018  │     93.58 %  ┃      0.0017 │     93.98 %┃
┃          66  ┃      0.0018  │     93.58 %  ┃      0.0018 │     93.64 %┃
┃          67  ┃      0.0016  │     93.72 %  ┃      0.0018 │     93.64 %┃
┃          67  ┃      0.0016  │     93.72 %  ┃      0.0018 │     93.78 %┃
┃          68  ┃      0.0017  │     93.72 %  ┃      0.0018 │     93.78 %┃
┃          68  ┃      0.0017  │     93.72 %  ┃      0.0018 │     93.74 %┃
┃          69  ┃      0.0017  │     93.94 %  ┃      0.0018 │     93.74 %┃
┃          69  ┃      0.0017  │     93.94 %  ┃      0.0018 │     93.82 %┃
┃          70  ┃      0.0017  │     93.92 %  ┃      0.0018 │     93.82 %┃
┃          70  ┃      0.0017  │     93.92 %  ┃      0.0018 │     93.88 %┃
┃          71  ┃      0.0017  │     93.78 %  ┃      0.0018 │     93.88 %┃
┃          71  ┃      0.0017  │     93.78 %  ┃      0.0018 │     93.83 %┃
┃          72  ┃      0.0017  │     93.84 %  ┃      0.0018 │     93.83 %┃
┃          72  ┃      0.0017  │     93.84 %  ┃      0.0018 │     93.76 %┃
┃          73  ┃      0.0018  │     93.50 %  ┃      0.0018 │     93.76 %┃
┃          73  ┃      0.0018  │     93.50 %  ┃      0.0019 │     93.66 %┃
┃          74  ┃      0.0017  │     93.76 %  ┃      0.0019 │     93.66 %┃
┃          74  ┃      0.0017  │     93.76 %  ┃      0.0018 │     93.75 %┃
┃          75  ┃      0.0017  │     93.54 %  ┃      0.0018 │     93.75 %┃
┃          75  ┃      0.0017  │     93.54 %  ┃      0.0018 │     94.00 %┃
┃          76  ┃      0.0018  │     93.30 %  ┃      0.0018 │     94.00 %┃
┃          76  ┃      0.0018  │     93.30 %  ┃      0.0019 │     93.72 %┃
┃          77  ┃      0.0017  │     93.64 %  ┃      0.0019 │     93.72 %┃
┃          77  ┃      0.0017  │     93.64 %  ┃      0.0019 │     93.77 %┃
┃          78  ┃      0.0017  │     93.94 %  ┃      0.0019 │     93.77 %┃
┃          78  ┃      0.0017  │     93.94 %  ┃      0.0018 │     93.92 %┃
┃          79  ┃      0.0017  │     93.72 %  ┃      0.0018 │     93.92 %┃
┃          79  ┃      0.0017  │     93.72 %  ┃      0.0019 │     93.74 %┃
┃          80  ┃      0.0017  │     93.94 %  ┃      0.0019 │     93.74 %┃
┃          80  ┃      0.0017  │     93.94 %  ┃      0.0018 │     93.98 %┃
┃          81  ┃      0.0016  │     94.22 %  ┃      0.0018 │     93.98 %┃
┃          81  ┃      0.0016  │     94.22 %  ┃      0.0018 │     94.05 %┃
┃          82  ┃      0.0016  │     94.36 %  ┃      0.0018 │     94.05 %┃
┃          82  ┃      0.0016  │     94.36 %  ┃      0.0018 │     94.15 %┃
┃          83  ┃      0.0017  │     93.96 %  ┃      0.0018 │     94.15 %┃
┃          83  ┃      0.0017  │     93.96 %  ┃      0.0018 │     94.10 %┃
┃          84  ┃      0.0017  │     93.92 %  ┃      0.0018 │     94.10 %┃
┃          84  ┃      0.0017  │     93.92 %  ┃      0.0018 │     94.01 %┃
┃          85  ┃      0.0017  │     93.66 %  ┃      0.0018 │     94.01 %┃
┃          85  ┃      0.0017  │     93.66 %  ┃      0.0018 │     94.09 %┃
┃          86  ┃      0.0017  │     93.96 %  ┃      0.0018 │     94.09 %┃
┃          86  ┃      0.0017  │     93.96 %  ┃      0.0018 │     94.13 %┃
┃          87  ┃      0.0016  │     94.10 %  ┃      0.0018 │     94.13 %┃
┃          87  ┃      0.0016  │     94.10 %  ┃      0.0018 │     94.06 %┃
┃          88  ┃      0.0017  │     94.12 %  ┃      0.0018 │     94.06 %┃
┃          88  ┃      0.0017  │     94.12 %  ┃      0.0018 │     94.13 %┃
┃          89  ┃      0.0018  │     93.84 %  ┃      0.0018 │     94.13 %┃
┃          89  ┃      0.0018  │     93.84 %  ┃      0.0018 │     94.15 %┃
┃          90  ┃      0.0017  │     93.70 %  ┃      0.0018 │     94.15 %┃
┃          90  ┃      0.0017  │     93.70 %  ┃      0.0018 │     94.13 %┃
┃          91  ┃      0.0017  │     94.24 %  ┃      0.0018 │     94.13 %┃
┃          91  ┃      0.0017  │     94.24 %  ┃      0.0018 │     94.14 %┃
┃          92  ┃      0.0017  │     94.00 %  ┃      0.0018 │     94.14 %┃
┃          92  ┃      0.0017  │     94.00 %  ┃      0.0018 │     94.14 %┃
┃          93  ┃      0.0017  │     94.02 %  ┃      0.0018 │     94.14 %┃
┃          93  ┃      0.0017  │     94.02 %  ┃      0.0018 │     94.01 %┃
┃          94  ┃      0.0017  │     94.06 %  ┃      0.0018 │     94.01 %┃
┃          94  ┃      0.0017  │     94.06 %  ┃      0.0018 │     94.20 %┃
┃          95  ┃      0.0016  │     94.26 %  ┃      0.0018 │     94.20 %┃
┃          95  ┃      0.0016  │     94.26 %  ┃      0.0018 │     94.09 %┃
┃          96  ┃      0.0016  │     94.24 %  ┃      0.0018 │     94.09 %┃
┃          96  ┃      0.0016  │     94.24 %  ┃      0.0018 │     94.14 %┃
┃          97  ┃      0.0018  │     94.10 %  ┃      0.0018 │     94.14 %┃
┃          97  ┃      0.0018  │     94.10 %  ┃      0.0018 │     94.12 %┃
┃          98  ┃      0.0017  │     93.88 %  ┃      0.0018 │     94.12 %┃
┃          98  ┃      0.0017  │     93.88 %  ┃      0.0018 │     94.20 %┃
┃          99  ┃      0.0017  │     94.00 %  ┃      0.0018 │     94.20 %┃
┃          99  ┃      0.0017  │     94.00 %  ┃      0.0018 │     94.13 %┃

>>> Training SAM with rho = 0.03
┏━━━━━━━━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┳━━━━━━━╸T-E-S-T╺━━━━━━━┓
┃              ┃              ╷              ┃             ╷         ┃
┃       epoch  ┃        loss  │    accuracy  ┃       loss  │accuracy ┃
┠──────────────╂──────────────┼──────────────╂─────────────┼─────────┨
┃           0  ┃      0.0161  │     23.94 %  ┃      0.0000 │      0.00 %┃
┃           0  ┃      0.0161  │     23.94 %  ┃      0.0156 │     26.20 %┃
┃           1  ┃      0.0145  │     32.22 %  ┃      0.0156 │     26.20 %┃
┃           1  ┃      0.0145  │     32.22 %  ┃      0.0141 │     33.25 %┃
┃           2  ┃      0.0140  │     36.08 %  ┃      0.0141 │     33.25 %┃
┃           2  ┃      0.0140  │     36.08 %  ┃      0.0131 │     38.05 %┃
┃           3  ┃      0.0142  │     37.70 %  ┃      0.0131 │     38.05 %┃
┃           3  ┃      0.0142  │     37.70 %  ┃      0.0145 │     37.58 %┃
┃           4  ┃      0.0095  │     55.44 %  ┃      0.0145 │     37.58 %┃
┃           4  ┃      0.0095  │     55.44 %  ┃      0.0097 │     56.03 %┃
┃           5  ┃      0.0088  │     58.38 %  ┃      0.0097 │     56.03 %┃
┃           5  ┃      0.0088  │     58.38 %  ┃      0.0088 │     60.07 %┃
┃           6  ┃      0.0081  │     64.26 %  ┃      0.0088 │     60.07 %┃
┃           6  ┃      0.0081  │     64.26 %  ┃      0.0079 │     65.55 %┃
┃           7  ┃      0.0070  │     70.22 %  ┃      0.0079 │     65.55 %┃
┃           7  ┃      0.0070  │     70.22 %  ┃      0.0069 │     69.77 %┃
┃           8  ┃      0.0063  │     72.30 %  ┃      0.0069 │     69.77 %┃
┃           8  ┃      0.0063  │     72.30 %  ┃      0.0063 │     73.01 %┃
┃           9  ┃      0.0063  │     72.94 %  ┃      0.0063 │     73.01 %┃
┃           9  ┃      0.0063  │     72.94 %  ┃      0.0061 │     74.03 %┃
┃          10  ┃      0.0096  │     62.62 %  ┃      0.0061 │     74.03 %┃
┃          10  ┃      0.0096  │     62.62 %  ┃      0.0105 │     61.11 %┃
┃          11  ┃      0.0075  │     68.32 %  ┃      0.0105 │     61.11 %┃
┃          11  ┃      0.0075  │     68.32 %  ┃      0.0075 │     69.69 %┃
┃          12  ┃      0.0045  │     80.32 %  ┃      0.0075 │     69.69 %┃
┃          12  ┃      0.0045  │     80.32 %  ┃      0.0046 │     80.72 %┃
┃          13  ┃      0.0045  │     80.44 %  ┃      0.0046 │     80.72 %┃
┃          13  ┃      0.0045  │     80.44 %  ┃      0.0044 │     81.05 %┃
┃          14  ┃      0.0058  │     74.80 %  ┃      0.0044 │     81.05 %┃
